Mean score: 1.80129, Stdev: 0.01295, md: 4, nest: 100, lr: 0.001
Mean score: 1.39002, Stdev: 0.41141, md: 4, nest: 100, lr: 0.01
Mean score: 1.12788, Stdev: 0.50029, md: 4, nest: 100, lr: 0.05
Mean score: 0.99215, Stdev: 0.49295, md: 4, nest: 100, lr: 0.1
Mean score: 0.91103, Stdev: 0.46982, md: 4, nest: 100, lr: 0.5
Mean score: 1.03594, Stdev: 0.51184, md: 4, nest: 200, lr: 0.001
Mean score: 0.98925, Stdev: 0.48748, md: 4, nest: 200, lr: 0.01
Mean score: 0.93883, Stdev: 0.47511, md: 4, nest: 200, lr: 0.05
Mean score: 0.89854, Stdev: 0.46222, md: 4, nest: 200, lr: 0.1
Mean score: 0.86791, Stdev: 0.44803, md: 4, nest: 200, lr: 0.5
Mean score: 0.90945, Stdev: 0.44694, md: 4, nest: 500, lr: 0.001
Mean score: 0.88399, Stdev: 0.43617, md: 4, nest: 500, lr: 0.01
Mean score: 0.86014, Stdev: 0.42713, md: 4, nest: 500, lr: 0.05
Mean score: 0.83941, Stdev: 0.41832, md: 4, nest: 500, lr: 0.1
Mean score: 0.82386, Stdev: 0.40831, md: 4, nest: 500, lr: 0.5
Mean score: 0.83367, Stdev: 0.39717, md: 4, nest: 1000, lr: 0.001
Mean score: 0.81912, Stdev: 0.38969, md: 4, nest: 1000, lr: 0.01
Mean score: 0.80528, Stdev: 0.38299, md: 4, nest: 1000, lr: 0.05
Mean score: 0.79296, Stdev: 0.37643, md: 4, nest: 1000, lr: 0.1
Mean score: 0.78436, Stdev: 0.36881, md: 4, nest: 1000, lr: 0.5
Mean score: 0.77492, Stdev: 0.36239, md: 4, nest: 10000, lr: 0.001
Mean score: 0.76562, Stdev: 0.35662, md: 4, nest: 10000, lr: 0.01
Mean score: 0.75788, Stdev: 0.35067, md: 4, nest: 10000, lr: 0.05
Mean score: 0.75132, Stdev: 0.34472, md: 4, nest: 10000, lr: 0.1
Mean score: 0.74729, Stdev: 0.33834, md: 4, nest: 10000, lr: 0.5
Mean score: 0.78775, Stdev: 0.38859, md: 5, nest: 100, lr: 0.001
Mean score: 0.79409, Stdev: 0.38270, md: 5, nest: 100, lr: 0.01
